isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9.78E+12,2005883,Gilead,,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead Iowa towards the end of the Reverend Ames’s life and he is absorbed in recording his family’s story a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence John tells of the rift between his grandfather and his father: the elder an angry visionary who fought for the abolitionist cause and his son an ardent pacifist. He is troubled too by his prodigal namesake Jack (John Ames) Boughton his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous rambling voice that finds beauty humour and truth in the smallest of life’s details Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons pitch-perfect in style and story set to dazzle critics and readers alike.,2004,3.85,247,361
9.78E+12,2261987,Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation bringing her superb storytelling to a new legion of fans. Clarissa the wife of a Foreign Office diplomat is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?) and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000,3.83,241,5164
9.78E+12,6163831,The One Tree, ,Stephen R. Donaldson,American fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,1982,3.97,479,172
9.78E+12,6178731,Rage of angels, ,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A memorable mesmerizing heroine Jennifer -- brilliant beautiful an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993,3.93,512,29532
9.78E+12,6280897,The Four Loves, ,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lewis' work on the nature of love divides love into four categories; Affection Friendship Eros and Charity. The first three come naturally to humanity. Charity however the Gift-love of God is divine and without this supernatural love the natural loves become distorted and even dangerous.,2002,4.15,170,33684
9.78E+12,6280935,The Problem of Pain,,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,In The Problem of Pain C.S. Lewis one of the most renowned Christian authors and thinkers examines a universally applicable question within the human condition: If God is good and all-powerful why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.""",2002,4.09,176,37569
9.78E+12,6353282,An Autobiography, ,Agatha Christie,English Drama,http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api, Donation. ,1977,4.27,560,3975
9.78E+12,6380832,Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,Africa East,http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api, Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers and by the Portuguese Dutch and British alike is one of brutality betrayal and colonial ambition.,1998,4.41,608,65
9.78E+12,000647022,The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,Hyland Morn (Fictitious character),http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api, A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...,1994,4.15,743,103
9.78E+12,6472613,Master of the Game,,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982,4.11,489,43540
9.78E+12,6479677,If Tomorrow Comes,,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,One of Sidney Sheldon's most popular and bestselling titles repackaged and reissued for a new generation of fans.",1994,4.04,501,49170
9.78E+12,6480098,Assassin's Apprentice,,Robin Hobb,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fantasy-roman.,1996,4.15,460,133972
9.78E+12,6482074,Warhost of Vastmark,,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tricked once more by his wily half-brother Lysaer Lord of Light arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan and wait.",1995,4.03,522,2966
9.78E+12,6483011,The Once and Future King,,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An omnibus volume of the author's complete story of the Arthurian epic which includes:The sword in the stone"" (1939)""The witch in the wood"" (1939)""The ill-made knight"" (1940)""The candle in the wind"" (published for the first time) and""The book of Merlyn."" 1996.""",1996,4.04,823,2805
9.78E+12,6483895,Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Available in the U.S. for the first time this is the second volume in the exceptional Legends of the Riftwar series fromNew York Times""-bestselling authors Feist and Rosenberg.""",2003,3.7,337,5083
